Month,Percentage,State,Hospital Bed Needed,ICU Beds Needed
12,0.4,ND,1593.00 ,341.00 
12,0.4,NE,3961.00 ,853.00 
12,0.4,NH,2983.00 ,646.00 
12,0.4,NJ,19348.00 ,4165.00 
12,0.4,NM,4437.00 ,962.00 
12,0.4,NV,6151.00 ,1320.00 
12,0.4,NY,43318.00 ,9316.00 
12,0.4,OH,25092.00 ,5433.00 
12,0.4,OK,8175.00 ,1761.00 
12,0.4,OR,8837.00 ,1916.00 
12,0.4,PA,28353.00 ,6174.00 
12,0.4,PR,7733.00 ,1697.00 
12,0.4,RI,2358.00 ,509.00 
12,0.4,SC,10640.00 ,2309.00 
12,0.4,SD,1800.00 ,390.00 
12,0.4,TN,14203.00 ,3064.00 
12,0.4,TX,55263.00 ,11661.00 
12,0.4,UT,5665.00 ,1187.00 
12,0.4,VA,17970.00 ,3843.00 
12,0.4,VT,1418.00 ,309.00 
12,0.4,WA,15375.00 ,3293.00 
12,0.4,WI,12458.00 ,2691.00 
12,0.4,WV,4125.00 ,905.00 
12,0.4,WY,1234.00 ,265.00 
12,0.6,AK,2240.00 ,466.00 
12,0.6,AL,15691.00 ,3394.00 
12,0.6,AR,9539.00 ,2070.00 
12,0.6,AZ,21815.00 ,4744.00 
12,0.6,CA,123281.00 ,26211.00 
12,0.6,CO,17248.00 ,3660.00 
12,0.6,CT,11855.00 ,2564.00 
12,0.6,DC,2258.00 ,472.00 
12,0.6,DE,3116.00 ,679.00 
12,0.6,FL,68895.00 ,15216.00 
12,0.6,GA,31740.00 ,6735.00 
12,0.6,HI,4686.00 ,1019.00 
12,0.6,IA,10032.00 ,2177.00 
12,0.6,ID,5107.00 ,1102.00 
12,0.6,IL,41114.00 ,8812.00 
12,0.6,IN,20979.00 ,4511.00 
12,0.6,KS,9115.00 ,1963.00 
12,0.6,KY,14243.00 ,3070.00 
12,0.6,LA,14739.00 ,3156.00 
12,0.6,MA,22536.00 ,4850.00 
12,0.6,MD,19278.00 ,4123.00 
12,0.6,ME,4554.00 ,1001.00 
12,0.6,MI,32318.00 ,6993.00 
12,0.6,MN,17504.00 ,3761.00 
12,0.6,MO,19623.00 ,4246.00 
12,0.6,MS,9418.00 ,2026.00 
12,0.6,MT,3389.00 ,739.00 
