State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Proejcted Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
NY,"51,713","4,420",0.78,0.62,"11,549","31,631","1,670","3,045","15,594,924","3,008,351","9,356,954","1,949,297","419,237","129,953",11.25 ,4.11 ,2.51 ,"64,977",5.63 ,2.05 ,1.26 ,"42,376",3.67 ,1.34 ,0.82 ,"27,949",16.74 ,9.18 ,6.32 ,"13,975",8.37 ,4.59 ,3.16 ,"9,114",5.46 ,2.99 ,2.06 
OH,"28,127","3,622",0.59,0.64,"11,419","19,773","1,297","2,459","8,982,588","1,844,642","5,389,553","1,129,160","244,507","75,277",6.59 ,3.81 ,2.68 ,"37,639",3.30 ,1.90 ,1.34 ,"24,547",2.15 ,1.24 ,0.87 ,"16,300",12.57 ,6.63 ,4.50 ,"8,150",6.28 ,3.31 ,2.25 ,"5,315",4.10 ,2.16 ,1.47 
OK,"10,781","1,164",0.56,0.63,"4,786","7,783",427,796,"2,939,976","574,330","1,763,986","367,894","79,230","24,526",5.12 ,3.15 ,2.27 ,"12,263",2.56 ,1.58 ,1.14 ,"7,998",1.67 ,1.03 ,0.74 ,"5,282",12.37 ,6.64 ,4.54 ,"2,641",6.19 ,3.32 ,2.27 ,"1,722",4.03 ,2.16 ,1.48 
OR,"6,789",837,0.63,0.6,"2,483","4,636",336,587,"3,160,871","655,089","1,896,523","397,679","86,201","26,512",10.68 ,5.72 ,3.91 ,"13,256",5.34 ,2.86 ,1.95 ,"8,645",3.48 ,1.86 ,1.27 ,"5,747",17.10 ,9.79 ,6.87 ,"2,873",8.55 ,4.89 ,3.43 ,"1,874",5.58 ,3.19 ,2.24 
PA,"32,817","3,643",0.64,0.61,"11,721","22,269","1,427","2,535","10,101,588","2,181,022","6,060,953","1,275,899","277,852","85,060",7.26 ,3.82 ,2.59 ,"42,530",3.63 ,1.91 ,1.30 ,"27,737",2.37 ,1.25 ,0.85 ,"18,523",12.98 ,7.31 ,5.08 ,"9,262",6.49 ,3.65 ,2.54 ,"6,040",4.23 ,2.38 ,1.66 
PR,"7,769",739,0.57,0.64,"3,355","5,562",262,501,"2,737,636","629,621","1,642,582","347,979","76,344","23,199",6.91 ,4.17 ,2.99 ,"11,599",3.46 ,2.09 ,1.49 ,"7,565",2.25 ,1.36 ,0.97 ,"5,090",19.43 ,10.16 ,6.89 ,"2,545",9.71 ,5.08 ,3.44 ,"1,660",6.34 ,3.31 ,2.25 
RI,"2,117",279,0.7,0.72,644,"1,381",77,178,"845,556","170,144","507,334","106,092","22,921","7,073",10.98 ,5.12 ,3.34 ,"3,536",5.49 ,2.56 ,1.67 ,"2,306",3.58 ,1.67 ,1.09 ,"1,528",19.84 ,8.58 ,5.48 ,764,9.92 ,4.29 ,2.74 ,498,6.47 ,2.80 ,1.78 
SC,"11,457","1,459",0.65,0.68,"4,066","7,762",469,964,"3,802,489","795,256","2,281,493","478,813","103,893","31,921",7.85 ,4.11 ,2.79 ,"15,960",3.93 ,2.06 ,1.39 ,"10,409",2.56 ,1.34 ,0.91 ,"6,926",14.77 ,7.18 ,4.75 ,"3,463",7.38 ,3.59 ,2.37 ,"2,259",4.82 ,2.34 ,1.55 
SD,"4,247",150,0.61,0.5,"1,663","2,955",75,112,"644,483","132,118","386,690","81,002","17,537","5,400",3.25 ,1.83 ,1.27 ,"2,700",1.62 ,0.91 ,0.64 ,"1,761",1.06 ,0.60 ,0.41 ,"1,169",15.59 ,10.44 ,7.79 ,585,7.80 ,5.22 ,3.90 ,381,5.08 ,3.40 ,2.54 
TN,"18,401","2,309",0.63,0.74,"6,723","12,562",603,"1,456","5,099,734","1,013,356","3,059,840","639,131","137,897","42,609",6.34 ,3.39 ,2.32 ,"21,304",3.17 ,1.70 ,1.16 ,"13,894",2.07 ,1.11 ,0.76 ,"9,193",15.25 ,6.31 ,3.98 ,"4,597",7.62 ,3.16 ,1.99 ,"2,998",4.97 ,2.06 ,1.30 
