Month,Percentage,City,State,Percentage of Potentially Available Beds Needed,Percentage of Potentially Available ICU Beds Needed
6,0.4,Fort Collins,CO,3.02 ,15.18 
6,0.4,Fort Lauderdale,FL,2.72 ,5.09 
6,0.4,Fort Myers,FL,3.05 ,8.18 
6,0.4,Fort Smith,AR,2.24 ,4.89 
6,0.4,Fort Wayne,IN,2.09 ,3.03 
6,0.4,Fort Worth,TX,3.44 ,5.91 
6,0.4,Fresno,CA,4.05 ,7.52 
6,0.4,Gainesville,FL,2.25 ,2.89 
6,0.4,Gary,IN,2.12 ,3.47 
6,0.4,Grand Forks,ND,1.09 ,6.50 
6,0.4,Grand Junction,CO,2.98 ,6.09 
6,0.4,Grand Rapids,MI,3.04 ,6.86 
6,0.4,Great Falls,MT,0.99 ,3.62 
6,0.4,Greeley,CO,2.75 ,6.48 
6,0.4,Green Bay,WI,3.04 ,6.42 
6,0.4,Greensboro,NC,3.55 ,6.68 
6,0.4,Greenville,NC,2.90 ,3.60 
6,0.4,Greenville,SC,2.76 ,5.60 
6,0.4,Gulfport,MS,1.97 ,3.13 
6,0.4,Hackensack,NJ,2.39 ,9.12 
6,0.4,Harlingen,TX,2.75 ,6.04 
6,0.4,Harrisburg,PA,2.77 ,7.46 
6,0.4,Hartford,CT,3.71 ,6.61 
6,0.4,Hattiesburg,MS,1.30 ,5.04 
6,0.4,Hickory,NC,3.02 ,6.29 
6,0.4,Hinsdale,IL,2.95 ,3.48 
6,0.4,Honolulu,HI,3.66 ,9.31 
6,0.4,Houma,LA,2.06 ,4.98 
6,0.4,Houston,TX,2.99 ,4.92 
6,0.4,Hudson,FL,2.72 ,4.65 
6,0.4,Huntington,WV,1.61 ,3.03 
6,0.4,Huntsville,AL,2.37 ,3.95 
6,0.4,Idaho Falls,ID,2.45 ,5.82 
6,0.4,Indianapolis,IN,2.31 ,3.59 
6,0.4,Iowa City,IA,1.59 ,3.14 
6,0.4,Jackson,MS,1.38 ,3.42 
6,0.4,Jackson,TN,1.95 ,3.69 
6,0.4,Jacksonville,FL,2.26 ,3.99 
6,0.4,Johnson City,TN,2.04 ,4.38 
6,0.4,Johnstown,PA,1.68 ,6.26 
6,0.4,Joliet,IL,2.79 ,6.00 
6,0.4,Jonesboro,AR,1.51 ,4.50 
6,0.4,Joplin,MO,2.06 ,3.60 
6,0.4,Kalamazoo,MI,2.71 ,7.84 
6,0.4,Kansas City,MO,2.30 ,4.28 
6,0.4,Kettering,OH,2.82 ,4.56 
6,0.4,Kingsport,TN,1.99 ,3.65 
6,0.4,Knoxville,TN,2.85 ,7.35 
6,0.4,La Crosse,WI,3.35 ,5.61 
6,0.4,Lafayette,IN,3.36 ,9.58 
6,0.4,Lafayette,LA,2.18 ,4.11 
6,0.4,Lake Charles,LA,1.85 ,4.00 
6,0.4,Lakeland,FL,2.51 ,4.93 
6,0.4,Lancaster,PA,3.83 ,9.33 
6,0.4,Lansing,MI,2.99 ,3.75 
6,0.4,Las Vegas,NV,3.60 ,4.39 
6,0.4,Lawton,OK,1.57 ,3.35 
6,0.4,Lebanon,NH,2.86 ,5.03 
6,0.4,Lexington,KY,1.86 ,3.81 
6,0.4,Lincoln,NE,1.67 ,7.40 
6,0.4,Little Rock,AR,1.93 ,4.25 
6,0.4,Longview,TX,5.60 ,5.91 
6,0.4,Los Angeles,CA,3.31 ,5.42 
6,0.4,Louisville,KY,2.63 ,4.96 
6,0.4,Lubbock,TX,2.20 ,3.34 
6,0.4,Lynchburg,VA,1.66 ,7.27 
6,0.4,Macon,GA,2.00 ,4.57 
6,0.4,Madison,WI,3.00 ,5.43 
6,0.4,Manchester,NH,3.65 ,9.06 
6,0.4,Manhattan,NY,2.57 ,4.79 
6,0.4,Marquette,MI,2.07 ,6.28 
6,0.4,Marshfield,WI,3.39 ,7.25 
6,0.4,Mason City,IA,1.63 ,10.75 
6,0.4,McAllen,TX,1.90 ,2.32 
6,0.4,Medford,OR,3.30 ,9.24 
6,0.4,Melrose Park,IL,2.83 ,5.15 
6,0.4,Memphis,TN,2.13 ,4.73 
6,0.4,Meridian,MS,1.07 ,4.76 
6,0.4,Mesa,AZ,4.59 ,6.75 
6,0.4,Metairie,LA,3.25 ,5.69 
6,0.4,Miami,FL,2.52 ,5.20 
6,0.4,Milwaukee,WI,3.08 ,4.32 
6,0.4,Minneapolis,MN,3.02 ,7.18 
6,0.4,Minot,ND,0.95 ,9.36 
6,0.4,Missoula,MT,2.45 ,6.66 
6,0.4,Mobile,AL,2.63 ,4.12 
6,0.4,Modesto,CA,3.86 ,9.86 
6,0.4,Monroe,LA,1.40 ,3.58 
6,0.4,Montgomery,AL,2.37 ,4.47 
6,0.4,Morgantown,WV,1.79 ,4.12 
6,0.4,Morristown,NJ,3.61 ,9.46 
6,0.4,Muncie,IN,2.86 ,7.14 
6,0.4,Munster,IN,1.24 ,3.85 
6,0.4,Muskegon,MI,3.12 ,5.24 
6,0.4,Napa,CA,4.09 ,4.91 
6,0.4,Nashville,TN,2.34 ,3.75 
6,0.4,Neenah,WI,3.02 ,6.66 
