HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Dayton, OH","2,070",294,749,"1,410",89,192,"825,712","177,147","495,427","104,229","22,681","6,949",9.28 ,4.93 ,3.36 ,3474.00 ,4.64 ,2.46 ,1.68 ,2266.00 ,3.03 ,1.61 ,1.09 ,1512.00 ,16.99 ,7.88 ,5.14 ,756.00 ,8.49 ,3.94 ,2.57 ,493.00 ,5.54 ,2.57 ,1.68 
"Dearborn, MI","1,439",188,462,951,95,142,"382,586","75,636","229,552","47,926","10,335","3,195",6.92 ,3.36 ,2.22 ,1598.00 ,3.46 ,1.68 ,1.11 ,1042.00 ,2.26 ,1.10 ,0.72 ,689.00 ,7.25 ,4.85 ,3.66 ,344.00 ,3.62 ,2.42 ,1.83 ,225.00 ,2.37 ,1.58 ,1.20 
"Denver, CO","5,593",843,"2,269","3,931",325,584,"2,380,353","379,848","1,428,212","293,012","61,843","19,534",8.61 ,4.97 ,3.49 ,9767.00 ,4.30 ,2.48 ,1.75 ,6370.00 ,2.81 ,1.62 ,1.14 ,4123.00 ,12.69 ,7.06 ,4.89 ,2061.00 ,6.34 ,3.53 ,2.44 ,1344.00 ,4.14 ,2.30 ,1.59 
"Des Moines, IA","2,760",173,"1,193","1,977",76,125,"869,785","168,710","521,871","108,772","23,407","7,251",6.08 ,3.67 ,2.63 ,3626.00 ,3.04 ,1.83 ,1.31 ,2365.00 ,1.98 ,1.20 ,0.86 ,1560.00 ,20.53 ,12.48 ,9.02 ,780.00 ,10.26 ,6.24 ,4.51 ,509.00 ,6.70 ,4.07 ,2.94 
"Detroit, MI","4,123",509,"1,333","2,728",163,336,"1,315,527","254,755","789,316","164,491","35,392","10,966",8.23 ,4.02 ,2.66 ,5483.00 ,4.11 ,2.01 ,1.33 ,3576.00 ,2.68 ,1.31 ,0.87 ,2359.00 ,14.47 ,7.02 ,4.63 ,1180.00 ,7.24 ,3.51 ,2.32 ,769.00 ,4.72 ,2.29 ,1.51 
"Dothan, AL","1,335",108,504,919,33,71,"290,096","65,608","174,058","36,811","8,060","2,454",4.87 ,2.67 ,1.84 ,1227.00 ,2.43 ,1.34 ,0.92 ,800.00 ,1.59 ,0.87 ,0.60 ,537.00 ,16.27 ,7.56 ,4.97 ,269.00 ,8.15 ,3.79 ,2.49 ,175.00 ,5.30 ,2.46 ,1.62 
"Dubuque, IA",518,18,228,373,8,13,"125,779","28,314","75,467","15,953","3,491","1,064",4.67 ,2.85 ,2.05 ,532.00 ,2.33 ,1.43 ,1.03 ,347.00 ,1.52 ,0.93 ,0.67 ,233.00 ,29.13 ,17.92 ,12.94 ,116.00 ,14.50 ,8.92 ,6.44 ,76.00 ,9.50 ,5.85 ,4.22 
"Duluth, MN","1,319",217,508,914,73,145,"274,471","63,578","164,683","34,914","7,666","2,328",4.58 ,2.55 ,1.76 ,1164.00 ,2.29 ,1.27 ,0.88 ,759.00 ,1.49 ,0.83 ,0.58 ,511.00 ,7.00 ,3.52 ,2.35 ,256.00 ,3.51 ,1.77 ,1.18 ,167.00 ,2.29 ,1.15 ,0.77 
"Durham, NC","4,505",790,"1,125","2,815",241,516,"1,097,252","224,839","658,351","137,903","29,854","9,194",8.17 ,3.27 ,2.04 ,4597.00 ,4.09 ,1.63 ,1.02 ,2998.00 ,2.66 ,1.07 ,0.67 ,1990.00 ,8.26 ,3.86 ,2.52 ,995.00 ,4.13 ,1.93 ,1.26 ,649.00 ,2.69 ,1.26 ,0.82 
"East Long Island, NY","9,897",928,"1,230","5,564",235,582,"3,811,249","751,403","2,286,749","477,312","102,896","31,821",25.87 ,5.72 ,3.22 ,15910.00 ,12.93 ,2.86 ,1.61 ,10376.00 ,8.44 ,1.86 ,1.05 ,6860.00 ,29.19 ,11.79 ,7.39 ,3430.00 ,14.60 ,5.89 ,3.70 ,2237.00 ,9.52 ,3.84 ,2.41 
"El Paso, TX","2,086",274,753,"1,420",51,162,"839,182","146,112","503,509","103,995","22,133","6,933",9.21 ,4.88 ,3.32 ,3466.00 ,4.60 ,2.44 ,1.66 ,2261.00 ,3.00 ,1.59 ,1.08 ,1476.00 ,28.94 ,9.11 ,5.39 ,738.00 ,14.47 ,4.56 ,2.69 ,481.00 ,9.43 ,2.97 ,1.76 
"Elgin, IL","1,239",142,475,857,67,104,"610,597","100,811","366,358","75,354","15,955","5,024",10.58 ,5.86 ,4.05 ,2512.00 ,5.29 ,2.93 ,2.03 ,1638.00 ,3.45 ,1.91 ,1.32 ,1064.00 ,15.88 ,10.23 ,7.49 ,532.00 ,7.94 ,5.12 ,3.75 ,347.00 ,5.18 ,3.34 ,2.44 
"Elmira, NY","1,036",94,361,699,14,54,"255,069","58,415","153,041","32,407","7,106","2,160",5.98 ,3.09 ,2.08 ,1080.00 ,2.99 ,1.55 ,1.04 ,704.00 ,1.95 ,1.01 ,0.68 ,474.00 ,33.86 ,8.78 ,5.04 ,237.00 ,16.93 ,4.39 ,2.52 ,154.00 ,11.00 ,2.85 ,1.64 
"Elyria, OH",453,63,214,333,21,42,"200,261","44,042","120,157","25,340","5,530","1,689",7.89 ,5.07 ,3.73 ,845.00 ,3.95 ,2.54 ,1.87 ,551.00 ,2.57 ,1.65 ,1.22 ,369.00 ,17.57 ,8.79 ,5.86 ,184.00 ,8.76 ,4.38 ,2.92 ,120.00 ,5.71 ,2.86 ,1.90 
"Erie, PA","1,904",184,706,"1,305",88,136,"561,138","130,069","336,683","71,384","15,676","4,759",6.74 ,3.65 ,2.50 ,2379.00 ,3.37 ,1.82 ,1.25 ,1552.00 ,2.20 ,1.19 ,0.82 ,1045.00 ,11.88 ,7.68 ,5.68 ,523.00 ,5.94 ,3.85 ,2.84 ,341.00 ,3.88 ,2.51 ,1.85 
"Eugene, OR","1,208",138,416,812,64,101,"603,572","141,016","362,143","76,845","16,891","5,123",12.31 ,6.31 ,4.24 ,2562.00 ,6.16 ,3.16 ,2.12 ,1671.00 ,4.02 ,2.06 ,1.38 ,1126.00 ,17.59 ,11.15 ,8.16 ,563.00 ,8.80 ,5.57 ,4.08 ,367.00 ,5.73 ,3.63 ,2.66 
"Evanston, IL","2,032",332,666,"1,349",137,234,"711,961","162,705","427,177","90,438","19,826","6,029",9.05 ,4.47 ,2.97 ,3015.00 ,4.53 ,2.23 ,1.48 ,1966.00 ,2.95 ,1.46 ,0.97 ,1322.00 ,9.65 ,5.65 ,3.98 ,661.00 ,4.82 ,2.82 ,1.99 ,431.00 ,3.15 ,1.84 ,1.30 
"Evansville, IN","2,154",328,"1,050","1,602",157,243,"528,945","115,347","317,367","66,875","14,580","4,458",4.25 ,2.78 ,2.07 ,2229.00 ,2.12 ,1.39 ,1.03 ,1454.00 ,1.38 ,0.91 ,0.68 ,972.00 ,6.19 ,4.00 ,2.96 ,486.00 ,3.10 ,2.00 ,1.48 ,317.00 ,2.02 ,1.30 ,0.97 
"Everett, WA",951,83,319,635,26,55,"542,404","104,811","325,442","67,808","14,586","4,521",14.17 ,7.12 ,4.75 ,2260.00 ,7.08 ,3.56 ,2.38 ,1474.00 ,4.62 ,2.32 ,1.55 ,972.00 ,37.38 ,17.67 ,11.71 ,486.00 ,18.69 ,8.84 ,5.86 ,317.00 ,12.19 ,5.76 ,3.82 
"Fargo/Moorhead MN, ND","1,872",180,734,"1,303",48,114,"432,080","90,275","259,248","54,403","11,803","3,627",4.94 ,2.78 ,1.94 ,1813.00 ,2.47 ,1.39 ,0.97 ,1183.00 ,1.61 ,0.91 ,0.63 ,787.00 ,16.40 ,6.90 ,4.37 ,393.00 ,8.19 ,3.45 ,2.18 ,257.00 ,5.35 ,2.25 ,1.43 
"Flint, MI","1,375",161,458,916,58,109,"426,480","89,340","255,888","53,711","11,656","3,581",7.82 ,3.91 ,2.60 ,1790.00 ,3.91 ,1.95 ,1.30 ,1168.00 ,2.55 ,1.28 ,0.85 ,777.00 ,13.40 ,7.13 ,4.83 ,389.00 ,6.71 ,3.57 ,2.42 ,253.00 ,4.36 ,2.32 ,1.57 
"Florence, SC","1,248",224,481,865,79,151,"287,862","62,812","172,717","36,397","7,936","2,426",5.04 ,2.80 ,1.94 ,1213.00 ,2.52 ,1.40 ,0.97 ,791.00 ,1.64 ,0.91 ,0.63 ,529.00 ,6.70 ,3.50 ,2.36 ,265.00 ,3.35 ,1.75 ,1.18 ,173.00 ,2.19 ,1.15 ,0.77 
"Fort Collins, CO",704,31,341,523,14,22,"287,995","47,223","172,797","35,523","7,517","2,368",6.94 ,4.53 ,3.36 ,1184.00 ,3.47 ,2.26 ,1.68 ,772.00 ,2.26 ,1.48 ,1.10 ,501.00 ,35.79 ,22.77 ,16.16 ,251.00 ,17.93 ,11.41 ,8.10 ,163.00 ,11.64 ,7.41 ,5.26 
"Fort Lauderdale, FL","7,323",908,"2,753","5,038",292,600,"2,396,614","619,365","1,437,968","308,518","68,680","20,568",7.47 ,4.08 ,2.81 ,10284.00 ,3.74 ,2.04 ,1.40 ,6707.00 ,2.44 ,1.33 ,0.92 ,4579.00 ,15.68 ,7.63 ,5.04 ,2289.00 ,7.84 ,3.82 ,2.52 ,1493.00 ,5.11 ,2.49 ,1.64 
"Fort Myers, FL","3,115",268,"1,089","2,102",97,182,"1,079,022","373,713","647,413","144,310","33,490","9,621",8.83 ,4.58 ,3.09 ,4810.00 ,4.42 ,2.29 ,1.54 ,3137.00 ,2.88 ,1.49 ,1.01 ,2233.00 ,23.02 ,12.27 ,8.33 ,1116.00 ,11.51 ,6.13 ,4.16 ,728.00 ,7.51 ,4.00 ,2.72 
"Fort Smith, AR",931,87,487,709,55,71,"281,971","62,427","169,183","35,703","7,798","2,380",4.89 ,3.36 ,2.56 ,1190.00 ,2.44 ,1.68 ,1.28 ,776.00 ,1.59 ,1.09 ,0.83 ,520.00 ,9.45 ,7.32 ,5.98 ,260.00 ,4.73 ,3.66 ,2.99 ,170.00 ,3.09 ,2.39 ,1.95 
"Fort Wayne, IN","2,442",376,"1,038","1,740",143,259,"651,379","132,442","390,827","81,806","17,695","5,454",5.25 ,3.13 ,2.23 ,2727.00 ,2.63 ,1.57 ,1.12 ,1778.00 ,1.71 ,1.02 ,0.73 ,1180.00 ,8.25 ,4.56 ,3.14 ,590.00 ,4.13 ,2.28 ,1.57 ,385.00 ,2.69 ,1.49 ,1.02 
"Fort Worth, TX","4,200",501,"1,400","2,800",187,344,"1,764,292","277,941","1,058,575","216,972","45,740","14,465",10.33 ,5.17 ,3.44 ,7232.00 ,5.17 ,2.58 ,1.72 ,4717.00 ,3.37 ,1.68 ,1.12 ,3049.00 ,16.30 ,8.86 ,6.09 ,1525.00 ,8.16 ,4.43 ,3.04 ,994.00 ,5.32 ,2.89 ,1.98 
"Fresno, CA","1,935",205,547,"1,241",77,141,"918,145","146,620","550,887","113,026","23,857","7,535",13.78 ,6.07 ,3.89 ,3768.00 ,6.89 ,3.04 ,1.95 ,2457.00 ,4.49 ,1.98 ,1.27 ,1590.00 ,20.65 ,11.28 ,7.76 ,795.00 ,10.32 ,5.64 ,3.88 ,519.00 ,6.74 ,3.68 ,2.53 
"Gainesville, FL","1,834",303,469,"1,152",88,195,"464,038","96,829","278,423","58,420","12,673","3,895",8.30 ,3.38 ,2.12 ,1947.00 ,4.15 ,1.69 ,1.06 ,1270.00 ,2.71 ,1.10 ,0.69 ,845.00 ,9.60 ,4.33 ,2.79 ,422.00 ,4.80 ,2.16 ,1.39 ,276.00 ,3.14 ,1.42 ,0.91 
"Gary, IN","1,434",179,638,"1,036",95,137,"392,167","80,990","235,300","49,323","10,687","3,288",5.15 ,3.17 ,2.29 ,1644.00 ,2.58 ,1.59 ,1.15 ,1072.00 ,1.68 ,1.03 ,0.75 ,712.00 ,7.49 ,5.20 ,3.98 ,356.00 ,3.75 ,2.60 ,1.99 ,232.00 ,2.44 ,1.69 ,1.30 
"Grand Forks, ND",952,31,374,663,18,24,"130,084","25,793","78,050","16,300","3,516","1,087",2.91 ,1.64 ,1.14 ,543.00 ,1.45 ,0.82 ,0.57 ,354.00 ,0.95 ,0.53 ,0.37 ,234.00 ,13.00 ,9.75 ,7.55 ,117.00 ,6.50 ,4.88 ,3.77 ,76.00 ,4.22 ,3.17 ,2.45 
"Grand Junction, CO",696,75,321,509,33,54,"270,519","57,077","162,311","34,092","7,405","2,273",7.08 ,4.47 ,3.27 ,1136.00 ,3.54 ,2.23 ,1.63 ,741.00 ,2.31 ,1.46 ,1.06 ,494.00 ,14.97 ,9.15 ,6.59 ,247.00 ,7.48 ,4.57 ,3.29 ,161.00 ,4.88 ,2.98 ,2.15 
"Grand Rapids, MI","2,440",236,957,"1,699",86,161,"933,913","171,359","560,348","116,234","24,868","7,749",8.10 ,4.56 ,3.18 ,3874.00 ,4.05 ,2.28 ,1.59 ,2527.00 ,2.64 ,1.49 ,1.04 ,1658.00 ,19.28 ,10.30 ,7.03 ,829.00 ,9.64 ,5.15 ,3.51 ,541.00 ,6.29 ,3.36 ,2.29 
"Great Falls, MT",937,50,367,652,27,39,"114,922","25,583","68,953","14,559","3,182",971,2.65 ,1.49 ,1.04 ,485.00 ,1.32 ,0.74 ,0.52 ,316.00 ,0.86 ,0.48 ,0.34 ,212.00 ,7.85 ,5.44 ,4.24 ,106.00 ,3.93 ,2.72 ,2.12 ,69.00 ,2.56 ,1.77 ,1.38 
"Greeley, CO",792,79,396,594,28,54,"294,267","55,594","176,560","36,715","7,879","2,448",6.18 ,4.12 ,3.09 ,1224.00 ,3.09 ,2.06 ,1.55 ,798.00 ,2.02 ,1.34 ,1.01 ,525.00 ,18.75 ,9.72 ,6.65 ,263.00 ,9.39 ,4.87 ,3.33 ,171.00 ,6.11 ,3.17 ,2.16 
"Green Bay, WI",990,112,498,744,43,77,"402,953","88,095","241,772","50,958","11,113","3,397",6.82 ,4.57 ,3.43 ,1699.00 ,3.41 ,2.28 ,1.72 ,1108.00 ,2.22 ,1.49 ,1.12 ,741.00 ,17.23 ,9.62 ,6.62 ,370.00 ,8.60 ,4.81 ,3.30 ,242.00 ,5.63 ,3.14 ,2.16 
"Greensboro, NC","1,224",135,362,793,47,91,"505,727","100,544","303,436","63,384","13,676","4,226",11.67 ,5.33 ,3.45 ,2113.00 ,5.84 ,2.66 ,1.73 ,1378.00 ,3.81 ,1.74 ,1.13 ,912.00 ,19.40 ,10.02 ,6.76 ,456.00 ,9.70 ,5.01 ,3.38 ,297.00 ,6.32 ,3.26 ,2.20 
"Greenville, NC","1,977",339,631,"1,304",115,227,"679,309","136,432","407,585","85,218","18,408","5,681",9.00 ,4.36 ,2.87 ,2841.00 ,4.50 ,2.18 ,1.44 ,1853.00 ,2.94 ,1.42 ,0.94 ,1227.00 ,10.67 ,5.41 ,3.62 ,614.00 ,5.34 ,2.70 ,1.81 ,400.00 ,3.48 ,1.76 ,1.18 
"Greenville, SC","2,217",282,798,"1,507",41,161,"743,619","153,533","446,171","93,524","20,264","6,235",7.81 ,4.14 ,2.81 ,3117.00 ,3.91 ,2.07 ,1.41 ,2033.00 ,2.55 ,1.35 ,0.92 ,1351.00 ,32.95 ,8.39 ,4.79 ,675.00 ,16.46 ,4.19 ,2.39 ,441.00 ,10.76 ,2.74 ,1.56 
"Gulfport, MS",609,80,287,448,40,60,"159,671","28,559","95,803","19,830","4,232","1,322",4.61 ,2.95 ,2.17 ,661.00 ,2.30 ,1.48 ,1.09 ,431.00 ,1.50 ,0.96 ,0.71 ,282.00 ,7.05 ,4.70 ,3.53 ,141.00 ,3.53 ,2.35 ,1.76 ,92.00 ,2.30 ,1.53 ,1.15 
"Hackensack, NJ","3,819",175,"1,057","2,438",98,137,"1,048,868","200,075","629,321","130,975","28,136","8,732",8.26 ,3.58 ,2.29 ,4366.00 ,4.13 ,1.79 ,1.14 ,2847.00 ,2.69 ,1.17 ,0.75 ,1876.00 ,19.14 ,13.69 ,10.72 ,938.00 ,9.57 ,6.85 ,5.36 ,612.00 ,6.24 ,4.47 ,3.50 
"Harlingen, TX","1,145",120,536,840,44,82,"418,633","76,061","251,180","52,060","11,127","3,471",6.48 ,4.13 ,3.03 ,1735.00 ,3.24 ,2.07 ,1.52 ,1132.00 ,2.11 ,1.35 ,0.99 ,742.00 ,16.86 ,9.05 ,6.18 ,371.00 ,8.43 ,4.52 ,3.09 ,242.00 ,5.50 ,2.95 ,2.02 
"Harrisburg, PA","2,426",211,929,"1,677",61,136,"825,408","183,199","495,245","104,539","22,838","6,969",7.50 ,4.16 ,2.87 ,3485.00 ,3.75 ,2.08 ,1.44 ,2273.00 ,2.45 ,1.36 ,0.94 ,1523.00 ,24.97 ,11.20 ,7.22 ,761.00 ,12.48 ,5.60 ,3.61 ,496.00 ,8.13 ,3.65 ,2.35 
"Hartford, CT","2,855",323,751,"1,803",115,219,"1,196,337","245,503","717,802","150,376","32,560","10,025",13.35 ,5.56 ,3.51 ,5013.00 ,6.68 ,2.78 ,1.76 ,3269.00 ,4.35 ,1.81 ,1.15 ,2171.00 ,18.88 ,9.91 ,6.72 ,1085.00 ,9.43 ,4.95 ,3.36 ,708.00 ,6.16 ,3.23 ,2.19 
"Hattiesburg, MS","1,546",85,504,"1,025",30,57,"240,419","46,076","144,251","30,034","6,455","2,002",3.97 ,1.95 ,1.29 ,1001.00 ,1.99 ,0.98 ,0.65 ,653.00 ,1.30 ,0.64 ,0.42 ,430.00 ,14.33 ,7.54 ,5.06 ,215.00 ,7.17 ,3.77 ,2.53 ,140.00 ,4.67 ,2.46 ,1.65 
"Hickory, NC",603,64,253,428,25,45,"229,268","51,364","137,561","29,064","6,357","1,938",7.66 ,4.53 ,3.21 ,969.00 ,3.83 ,2.26 ,1.61 ,632.00 ,2.50 ,1.48 ,1.05 ,424.00 ,16.96 ,9.42 ,6.63 ,212.00 ,8.48 ,4.71 ,3.31 ,138.00 ,5.52 ,3.07 ,2.16 
"Hinsdale, IL","1,041",172,402,721,89,130,"385,733","67,856","231,440","47,841","10,192","3,189",7.93 ,4.42 ,3.06 ,1595.00 ,3.97 ,2.21 ,1.53 ,1040.00 ,2.59 ,1.44 ,1.00 ,679.00 ,7.63 ,5.22 ,3.95 ,340.00 ,3.82 ,2.62 ,1.98 ,222.00 ,2.49 ,1.71 ,1.29 
"Honolulu, HI","2,623",219,795,"1,709",73,146,"1,114,023","238,126","668,414","140,572","30,577","9,371",11.79 ,5.48 ,3.57 ,4686.00 ,5.89 ,2.74 ,1.79 ,3056.00 ,3.84 ,1.79 ,1.17 ,2038.00 ,27.92 ,13.96 ,9.31 ,1019.00 ,13.96 ,6.98 ,4.65 ,665.00 ,9.11 ,4.55 ,3.04 
"Houma, LA",707,65,399,553,32,49,"206,176","37,957","123,706","25,668","5,493","1,711",4.29 ,3.09 ,2.42 ,856.00 ,2.15 ,1.55 ,1.21 ,558.00 ,1.40 ,1.01 ,0.79 ,366.00 ,11.44 ,7.47 ,5.63 ,183.00 ,5.72 ,3.73 ,2.82 ,119.00 ,3.72 ,2.43 ,1.83 
"Houston, TX","14,062","1,790","5,130","9,596",652,"1,221","5,278,689","769,270","3,167,213","645,619","135,164","43,041",8.39 ,4.49 ,3.06 ,21521.00 ,4.20 ,2.24 ,1.53 ,14035.00 ,2.74 ,1.46 ,1.00 ,9011.00 ,13.82 ,7.38 ,5.03 ,4505.00 ,6.91 ,3.69 ,2.52 ,2938.00 ,4.51 ,2.41 ,1.64 
"Hudson, FL","1,188",160,329,758,45,102,"351,228","112,737","210,737","46,466","10,660","3,098",9.42 ,4.09 ,2.61 ,1549.00 ,4.71 ,2.04 ,1.30 ,1010.00 ,3.07 ,1.33 ,0.85 ,711.00 ,15.80 ,6.97 ,4.44 ,355.00 ,7.89 ,3.48 ,2.22 ,232.00 ,5.16 ,2.27 ,1.45 
"Huntington, WV","1,561",162,382,971,64,113,"276,340","63,341","165,804","35,113","7,700","2,341",6.13 ,2.41 ,1.50 ,1170.00 ,3.06 ,1.20 ,0.75 ,763.00 ,2.00 ,0.79 ,0.49 ,513.00 ,8.02 ,4.54 ,3.17 ,257.00 ,4.02 ,2.27 ,1.59 ,167.00 ,2.61 ,1.48 ,1.03 
"Huntsville, AL","1,804",248,569,"1,187",59,154,"506,155","100,153","303,693","63,410","13,675","4,227",7.43 ,3.56 ,2.34 ,2114.00 ,3.72 ,1.78 ,1.17 ,1378.00 ,2.42 ,1.16 ,0.76 ,912.00 ,15.46 ,5.92 ,3.68 ,456.00 ,7.73 ,2.96 ,1.84 ,297.00 ,5.03 ,1.93 ,1.20 
"Idaho Falls, ID",492,44,269,381,24,34,"169,856","28,437","101,914","20,985","4,449","1,399",5.20 ,3.67 ,2.84 ,700.00 ,2.60 ,1.84 ,1.42 ,456.00 ,1.70 ,1.20 ,0.93 ,297.00 ,12.38 ,8.74 ,6.75 ,148.00 ,6.17 ,4.35 ,3.36 ,97.00 ,4.04 ,2.85 ,2.20 
"Indianapolis, IN","7,441","1,081","3,350","5,396",403,742,"2,249,394","412,838","1,349,636","279,963","59,899","18,664",5.57 ,3.46 ,2.51 ,9332.00 ,2.79 ,1.73 ,1.25 ,6086.00 ,1.82 ,1.13 ,0.82 ,3993.00 ,9.91 ,5.38 ,3.69 ,1997.00 ,4.96 ,2.69 ,1.85 ,1302.00 ,3.23 ,1.75 ,1.20 
"Iowa City, IA","1,414",147,538,976,64,106,"279,218","53,012","167,531","34,853","7,483","2,324",4.32 ,2.38 ,1.64 ,1162.00 ,2.16 ,1.19 ,0.82 ,758.00 ,1.41 ,0.78 ,0.54 ,499.00 ,7.80 ,4.71 ,3.39 ,249.00 ,3.89 ,2.35 ,1.69 ,163.00 ,2.55 ,1.54 ,1.11 
"Jackson, MS","4,425",406,"1,964","3,194",149,277,"792,834","152,349","475,700","99,067","21,298","6,604",3.36 ,2.07 ,1.49 ,3302.00 ,1.68 ,1.03 ,0.75 ,2154.00 ,1.10 ,0.67 ,0.49 ,1420.00 ,9.53 ,5.13 ,3.50 ,710.00 ,4.77 ,2.56 ,1.75 ,463.00 ,3.11 ,1.67 ,1.14 
"Jackson, TN","1,063",115,423,743,57,86,"256,100","58,414","153,660","32,525","7,129","2,168",5.13 ,2.92 ,2.04 ,1084.00 ,2.56 ,1.46 ,1.02 ,707.00 ,1.67 ,0.95 ,0.67 ,475.00 ,8.33 ,5.52 ,4.13 ,238.00 ,4.18 ,2.77 ,2.07 ,155.00 ,2.72 ,1.80 ,1.35 
"Jacksonville, FL","4,947",618,"1,625","3,286",183,400,"1,340,118","254,567","804,071","167,284","35,919","11,152",6.86 ,3.39 ,2.25 ,5576.00 ,3.43 ,1.70 ,1.13 ,3637.00 ,2.24 ,1.11 ,0.74 ,2395.00 ,13.09 ,5.99 ,3.88 ,1197.00 ,6.54 ,2.99 ,1.94 ,781.00 ,4.27 ,1.95 ,1.26 
"Johnson City, TN",956,94,342,649,39,66,"235,522","51,395","141,313","29,779","6,493","1,985",5.80 ,3.06 ,2.08 ,993.00 ,2.90 ,1.53 ,1.04 ,647.00 ,1.89 ,1.00 ,0.68 ,433.00 ,11.10 ,6.56 ,4.61 ,216.00 ,5.54 ,3.27 ,2.30 ,141.00 ,3.62 ,2.14 ,1.50 
"Johnstown, PA",741,44,426,584,25,35,"170,816","45,254","102,490","22,053","4,925","1,470",3.45 ,2.52 ,1.98 ,735.00 ,1.73 ,1.26 ,0.99 ,479.00 ,1.12 ,0.82 ,0.65 ,328.00 ,13.12 ,9.37 ,7.45 ,164.00 ,6.56 ,4.69 ,3.73 ,107.00 ,4.28 ,3.06 ,2.43 
"Joliet, IL","1,376",149,662,"1,019",53,101,"516,812","90,546","310,087","64,078","13,646","4,272",6.45 ,4.19 ,3.10 ,2136.00 ,3.23 ,2.10 ,1.55 ,1393.00 ,2.10 ,1.37 ,1.01 ,910.00 ,17.17 ,9.01 ,6.11 ,455.00 ,8.58 ,4.50 ,3.05 ,297.00 ,5.60 ,2.94 ,1.99 
"Jonesboro, AR",975,76,403,689,23,50,"185,969","38,518","111,581","23,396","5,071","1,560",3.87 ,2.26 ,1.60 ,780.00 ,1.94 ,1.13 ,0.80 ,509.00 ,1.26 ,0.74 ,0.52 ,338.00 ,14.70 ,6.76 ,4.45 ,169.00 ,7.35 ,3.38 ,2.22 ,110.00 ,4.78 ,2.20 ,1.45 
"Joplin, MO","1,045",124,507,776,71,97,"282,798","63,826","169,679","35,877","7,854","2,392",4.72 ,3.08 ,2.29 ,1196.00 ,2.36 ,1.54 ,1.14 ,780.00 ,1.54 ,1.01 ,0.75 ,524.00 ,7.38 ,5.40 ,4.23 ,262.00 ,3.69 ,2.70 ,2.11 ,171.00 ,2.41 ,1.76 ,1.38 
"Kalamazoo, MI","1,462",139,681,"1,072",21,80,"520,196","104,986","312,118","65,287","14,110","4,352",6.39 ,4.06 ,2.98 ,2176.00 ,3.20 ,2.03 ,1.49 ,1419.00 ,2.08 ,1.32 ,0.97 ,941.00 ,44.81 ,11.76 ,6.77 ,470.00 ,22.38 ,5.88 ,3.38 ,307.00 ,14.62 ,3.84 ,2.21 
"Kansas City, MO","6,736",795,"2,646","4,691",286,541,"1,950,902","362,250","1,170,541","243,051","52,064","16,203",6.12 ,3.45 ,2.41 ,8102.00 ,3.06 ,1.73 ,1.20 ,5284.00 ,2.00 ,1.13 ,0.78 ,3471.00 ,12.14 ,6.42 ,4.37 ,1735.00 ,6.07 ,3.21 ,2.18 ,1132.00 ,3.96 ,2.09 ,1.42 
"Kettering, OH",923,138,412,667,42,90,"334,281","73,199","200,569","42,280","9,222","2,819",6.84 ,4.23 ,3.05 ,1409.00 ,3.42 ,2.11 ,1.53 ,919.00 ,2.23 ,1.38 ,1.00 ,615.00 ,14.64 ,6.83 ,4.46 ,307.00 ,7.31 ,3.41 ,2.22 ,200.00 ,4.76 ,2.22 ,1.45 
"Kingsport, TN","1,485",185,668,"1,077",75,130,"375,852","93,948","225,511","48,202","10,685","3,213",4.81 ,2.98 ,2.16 ,1607.00 ,2.41 ,1.49 ,1.08 ,1048.00 ,1.57 ,0.97 ,0.71 ,712.00 ,9.49 ,5.48 ,3.85 ,356.00 ,4.75 ,2.74 ,1.92 ,232.00 ,3.09 ,1.78 ,1.25 
"Knoxville, TN","3,193",299,"1,198","2,195",74,186,"1,108,058","250,729","664,835","140,610","30,789","9,374",7.82 ,4.27 ,2.94 ,4687.00 ,3.91 ,2.14 ,1.47 ,3057.00 ,2.55 ,1.39 ,0.96 ,2053.00 ,27.74 ,11.04 ,6.87 ,1026.00 ,13.86 ,5.52 ,3.43 ,669.00 ,9.04 ,3.60 ,2.24 
