City,State,Adult Population,Population 65+
Temple,TX,409683.00 ,59971.00 
Terre Haute,IN,140148.00 ,28559.00 
Texarkana,AR,198305.00 ,43677.00 
Toledo,OH,767671.00 ,155817.00 
Topeka,KS,352693.00 ,68579.00 
Traverse City,MI,189619.00 ,52436.00 
Tucson,AZ,971119.00 ,232066.00 
Tulsa,OK,1070712.00 ,213442.00 
Tupelo,MS,308796.00 ,61185.00 
Tuscaloosa,AL,215194.00 ,37920.00 
Tyler,TX,437181.00 ,98736.00 
Urbana,IL,361763.00 ,69031.00 
Ventura,CA,669683.00 ,124579.00 
Victoria,TX,115052.00 ,25536.00 
Waco,TX,264389.00 ,54218.00 
Washington,DC,2179021.00 ,378878.00 
Waterloo,IA,167837.00 ,36303.00 
Wausau,WI,150679.00 ,36287.00 
White Plains,NY,896882.00 ,178478.00 
Wichita Falls,TX,154615.00 ,31786.00 
Wichita,KS,951715.00 ,198669.00 
Wilkes-Barre,PA,198135.00 ,47118.00 
Wilmington,DE,637120.00 ,120121.00 
Wilmington,NC,385088.00 ,91585.00 
Winchester,VA,350240.00 ,74330.00 
Winston-Salem,NC,899862.00 ,197294.00 
Worcester,MA,652386.00 ,122123.00 
Yakima,WA,220972.00 ,40707.00 
York,PA,343334.00 ,73773.00 
Youngstown,OH,493628.00 ,124167.00 
