HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Greenville, NC","1,977",339,631,"1,304",115,227,"679,309","136,432","271,724","56,812","12,272","3,787",6.00 ,2.90 ,1.92 ,1894.00 ,3.00 ,1.45 ,0.96 ,1235.00 ,1.96 ,0.95 ,0.62 ,818.00 ,7.11 ,3.60 ,2.41 ,409.00 ,3.56 ,1.80 ,1.21 ,267.00 ,2.32 ,1.18 ,0.79 
"Greenville, SC","2,217",282,798,"1,507",41,161,"743,619","153,533","297,448","62,349","13,509","4,157",5.21 ,2.76 ,1.88 ,2078.00 ,2.60 ,1.38 ,0.94 ,1355.00 ,1.70 ,0.90 ,0.61 ,901.00 ,21.98 ,5.60 ,3.20 ,450.00 ,10.98 ,2.80 ,1.60 ,294.00 ,7.17 ,1.83 ,1.04 
"Gulfport, MS",609,80,287,448,40,60,"159,671","28,559","63,868","13,220","2,821",881,3.07 ,1.97 ,1.45 ,441.00 ,1.54 ,0.98 ,0.72 ,287.00 ,1.00 ,0.64 ,0.47 ,188.00 ,4.70 ,3.13 ,2.35 ,94.00 ,2.35 ,1.57 ,1.18 ,61.00 ,1.53 ,1.02 ,0.76 
"Hackensack, NJ","3,819",175,"1,057","2,438",98,137,"1,048,868","200,075","419,547","87,317","18,757","5,821",5.51 ,2.39 ,1.52 ,2911.00 ,2.75 ,1.19 ,0.76 ,1898.00 ,1.80 ,0.78 ,0.50 ,1250.00 ,12.76 ,9.12 ,7.14 ,625.00 ,6.38 ,4.56 ,3.57 ,408.00 ,4.16 ,2.98 ,2.33 
"Harlingen, TX","1,145",120,536,840,44,82,"418,633","76,061","167,453","34,706","7,418","2,314",4.32 ,2.75 ,2.02 ,1157.00 ,2.16 ,1.38 ,1.01 ,754.00 ,1.41 ,0.90 ,0.66 ,495.00 ,11.25 ,6.04 ,4.13 ,247.00 ,5.61 ,3.01 ,2.06 ,161.00 ,3.66 ,1.96 ,1.34 
"Harrisburg, PA","2,426",211,929,"1,677",61,136,"825,408","183,199","330,163","69,693","15,226","4,646",5.00 ,2.77 ,1.92 ,2323.00 ,2.50 ,1.39 ,0.96 ,1515.00 ,1.63 ,0.90 ,0.62 ,1015.00 ,16.64 ,7.46 ,4.81 ,508.00 ,8.33 ,3.74 ,2.41 ,331.00 ,5.43 ,2.43 ,1.57 
"Hartford, CT","2,855",323,751,"1,803",115,219,"1,196,337","245,503","478,535","100,251","21,706","6,683",8.90 ,3.71 ,2.34 ,3342.00 ,4.45 ,1.85 ,1.17 ,2179.00 ,2.90 ,1.21 ,0.76 ,1447.00 ,12.58 ,6.61 ,4.48 ,724.00 ,6.30 ,3.31 ,2.24 ,472.00 ,4.10 ,2.16 ,1.46 
"Hattiesburg, MS","1,546",85,504,"1,025",30,57,"240,419","46,076","96,168","20,023","4,303","1,335",2.65 ,1.30 ,0.86 ,667.00 ,1.32 ,0.65 ,0.43 ,435.00 ,0.86 ,0.42 ,0.28 ,287.00 ,9.57 ,5.04 ,3.38 ,143.00 ,4.77 ,2.51 ,1.68 ,94.00 ,3.13 ,1.65 ,1.11 
"Hickory, NC",603,64,253,428,25,45,"229,268","51,364","91,707","19,376","4,238","1,292",5.11 ,3.02 ,2.14 ,646.00 ,2.55 ,1.51 ,1.07 ,421.00 ,1.66 ,0.98 ,0.70 ,283.00 ,11.32 ,6.29 ,4.42 ,141.00 ,5.64 ,3.13 ,2.20 ,92.00 ,3.68 ,2.04 ,1.44 
"Hinsdale, IL","1,041",172,402,721,89,130,"385,733","67,856","154,293","31,894","6,795","2,126",5.29 ,2.95 ,2.04 ,1063.00 ,2.64 ,1.47 ,1.02 ,693.00 ,1.72 ,0.96 ,0.67 ,453.00 ,5.09 ,3.48 ,2.63 ,226.00 ,2.54 ,1.74 ,1.31 ,148.00 ,1.66 ,1.14 ,0.86 
"Honolulu, HI","2,623",219,795,"1,709",73,146,"1,114,023","238,126","445,609","93,714","20,385","6,248",7.86 ,3.66 ,2.38 ,3124.00 ,3.93 ,1.83 ,1.19 ,2037.00 ,2.56 ,1.19 ,0.78 ,1359.00 ,18.62 ,9.31 ,6.21 ,680.00 ,9.32 ,4.66 ,3.11 ,443.00 ,6.07 ,3.03 ,2.02 
"Houma, LA",707,65,399,553,32,49,"206,176","37,957","82,470","17,112","3,662","1,141",2.86 ,2.06 ,1.61 ,570.00 ,1.43 ,1.03 ,0.81 ,372.00 ,0.93 ,0.67 ,0.53 ,244.00 ,7.63 ,4.98 ,3.75 ,122.00 ,3.81 ,2.49 ,1.88 ,80.00 ,2.50 ,1.63 ,1.23 
"Houston, TX","14,062","1,790","5,130","9,596",652,"1,221","5,278,689","769,270","2,111,476","430,413","90,110","28,694",5.59 ,2.99 ,2.04 ,14347.00 ,2.80 ,1.50 ,1.02 ,9357.00 ,1.82 ,0.98 ,0.67 ,6007.00 ,9.21 ,4.92 ,3.36 ,3004.00 ,4.61 ,2.46 ,1.68 ,1959.00 ,3.00 ,1.60 ,1.09 
"Hudson, FL","1,188",160,329,758,45,102,"351,228","112,737","140,491","30,977","7,107","2,065",6.28 ,2.72 ,1.74 ,1033.00 ,3.14 ,1.36 ,0.87 ,673.00 ,2.05 ,0.89 ,0.57 ,474.00 ,10.53 ,4.65 ,2.96 ,237.00 ,5.27 ,2.32 ,1.48 ,154.00 ,3.42 ,1.51 ,0.96 
"Huntington, WV","1,561",162,382,971,64,113,"276,340","63,341","110,536","23,409","5,134","1,561",4.09 ,1.61 ,1.00 ,780.00 ,2.04 ,0.80 ,0.50 ,509.00 ,1.33 ,0.52 ,0.33 ,342.00 ,5.34 ,3.03 ,2.11 ,171.00 ,2.67 ,1.51 ,1.06 ,112.00 ,1.75 ,0.99 ,0.69 
"Huntsville, AL","1,804",248,569,"1,187",59,154,"506,155","100,153","202,462","42,274","9,117","2,818",4.95 ,2.37 ,1.56 ,1409.00 ,2.48 ,1.19 ,0.78 ,919.00 ,1.62 ,0.77 ,0.51 ,608.00 ,10.31 ,3.95 ,2.45 ,304.00 ,5.15 ,1.97 ,1.23 ,198.00 ,3.36 ,1.29 ,0.80 
"Idaho Falls, ID",492,44,269,381,24,34,"169,856","28,437","67,942","13,990","2,966",933,3.47 ,2.45 ,1.90 ,466.00 ,1.73 ,1.22 ,0.95 ,304.00 ,1.13 ,0.80 ,0.62 ,198.00 ,8.25 ,5.82 ,4.50 ,99.00 ,4.13 ,2.91 ,2.25 ,64.00 ,2.67 ,1.88 ,1.45 
"Indianapolis, IN","7,441","1,081","3,350","5,396",403,742,"2,249,394","412,838","899,758","186,642","39,933","12,443",3.71 ,2.31 ,1.67 ,6221.00 ,1.86 ,1.15 ,0.84 ,4057.00 ,1.21 ,0.75 ,0.55 ,2662.00 ,6.61 ,3.59 ,2.46 ,1331.00 ,3.30 ,1.79 ,1.23 ,868.00 ,2.15 ,1.17 ,0.80 
"Iowa City, IA","1,414",147,538,976,64,106,"279,218","53,012","111,687","23,235","4,989","1,549",2.88 ,1.59 ,1.10 ,774.00 ,1.44 ,0.79 ,0.55 ,505.00 ,0.94 ,0.52 ,0.36 ,333.00 ,5.20 ,3.14 ,2.27 ,166.00 ,2.59 ,1.57 ,1.13 ,108.00 ,1.69 ,1.02 ,0.73 
"Jackson, MS","4,425",406,"1,964","3,194",149,277,"792,834","152,349","317,134","66,045","14,198","4,403",2.24 ,1.38 ,1.00 ,2202.00 ,1.12 ,0.69 ,0.50 ,1436.00 ,0.73 ,0.45 ,0.32 ,947.00 ,6.36 ,3.42 ,2.33 ,473.00 ,3.17 ,1.71 ,1.17 ,309.00 ,2.07 ,1.12 ,0.76 
"Jackson, TN","1,063",115,423,743,57,86,"256,100","58,414","102,440","21,683","4,752","1,446",3.42 ,1.95 ,1.36 ,723.00 ,1.71 ,0.97 ,0.68 ,471.00 ,1.11 ,0.63 ,0.44 ,317.00 ,5.56 ,3.69 ,2.76 ,158.00 ,2.77 ,1.84 ,1.37 ,103.00 ,1.81 ,1.20 ,0.90 
"Jacksonville, FL","4,947",618,"1,625","3,286",183,400,"1,340,118","254,567","536,047","111,522","23,946","7,435",4.58 ,2.26 ,1.50 ,3717.00 ,2.29 ,1.13 ,0.75 ,2424.00 ,1.49 ,0.74 ,0.49 ,1596.00 ,8.72 ,3.99 ,2.58 ,798.00 ,4.36 ,2.00 ,1.29 ,521.00 ,2.85 ,1.30 ,0.84 
"Johnson City, TN",956,94,342,649,39,66,"235,522","51,395","94,209","19,853","4,329","1,324",3.87 ,2.04 ,1.38 ,662.00 ,1.94 ,1.02 ,0.69 ,432.00 ,1.26 ,0.67 ,0.45 ,289.00 ,7.41 ,4.38 ,3.07 ,144.00 ,3.69 ,2.18 ,1.53 ,94.00 ,2.41 ,1.42 ,1.00 
"Johnstown, PA",741,44,426,584,25,35,"170,816","45,254","68,326","14,702","3,283",980,2.30 ,1.68 ,1.32 ,490.00 ,1.15 ,0.84 ,0.66 ,320.00 ,0.75 ,0.55 ,0.43 ,219.00 ,8.76 ,6.26 ,4.98 ,109.00 ,4.36 ,3.11 ,2.48 ,71.00 ,2.84 ,2.03 ,1.61 
