City,State,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
Buffalo,NY,"4,713",323,"1,228","2,971",95,209,"1,090,373","234,541","436,149","91,781","19,978","6,119",4.98,2.06,1.3,3059,2.49,1.03,0.65,1995,1.62,0.67,0.42,1332,14.02,6.37,4.12,666,7.01,3.19,2.06,434,4.57,2.08,1.34
Burlington,VT,"1,743",117,587,"1,165",65,91,"522,720","104,104","209,088","43,683","9,427","2,912",4.96,2.5,1.67,1456,2.48,1.25,0.84,950,1.62,0.82,0.55,628,9.66,6.9,5.37,314,4.83,3.45,2.68,205,3.15,2.25,1.75
Camden,NJ,"6,527",701,"2,294","4,410",293,497,"2,208,721","489,214","883,488","186,453","40,724","12,430",5.42,2.82,1.9,6215,2.71,1.41,0.95,4053,1.77,0.92,0.62,2715,9.27,5.46,3.87,1357,4.63,2.73,1.94,885,3.02,1.78,1.26
Canton,OH,"1,441",209,706,"1,073",97,153,"495,349","113,936","198,140","41,976","9,209","2,798",3.96,2.61,1.94,1399,1.98,1.3,0.97,913,1.29,0.85,0.63,614,6.33,4.01,2.94,307,3.16,2.01,1.47,200,2.06,1.31,0.96
Cape Girardeau,MO,859,80,398,629,43,62,"202,898","45,230","81,159","17,139","3,746","1,143",2.87,1.82,1.33,571,1.43,0.91,0.66,373,0.94,0.59,0.43,250,5.81,4.03,3.13,125,2.91,2.02,1.56,81,1.88,1.31,1.01
Casper,WY,633,32,378,505,20,26,"152,884","31,930","61,154","12,833","2,784",856,2.26,1.7,1.35,428,1.13,0.85,0.68,279,0.74,0.55,0.44,186,9.3,7.15,5.81,93,4.65,3.58,2.91,61,3.05,2.35,1.91
Cedar Rapids,IA,799,44,364,581,22,33,"234,872","48,228","93,949","19,683","4,262","1,312",3.6,2.26,1.64,656,1.8,1.13,0.82,428,1.18,0.74,0.54,284,12.91,8.61,6.45,142,6.45,4.3,3.23,93,4.23,2.82,2.11
Charleston,SC,"3,013",329,975,"1,994",101,215,"914,407","196,315","365,763","76,955","16,748","5,130",5.26,2.57,1.7,2565,2.63,1.29,0.85,1673,1.72,0.84,0.56,1117,11.06,5.2,3.4,558,5.52,2.6,1.7,364,3.6,1.69,1.11
Charleston,WV,"2,620",284,"1,167","1,894",97,190,"650,209","155,752","260,084","55,335","12,200","3,689",3.16,1.95,1.41,1844,1.58,0.97,0.7,1203,1.03,0.64,0.46,813,8.38,4.28,2.86,407,4.2,2.14,1.43,265,2.73,1.39,0.93
Charlotte,NC,"4,873",770,"1,465","3,169",249,510,"2,024,238","353,589","809,695","167,278","35,612","11,152",7.61,3.52,2.29,5576,3.81,1.76,1.14,3636,2.48,1.15,0.75,2374,9.53,4.65,3.08,1187,4.77,2.33,1.54,774,3.11,1.52,1.01
Charlottesville,VA,"1,326",155,433,879,35,95,"477,802","100,652","191,121","40,138","8,716","2,676",6.18,3.04,2.02,1338,3.09,1.52,1.01,873,2.02,0.99,0.66,581,16.6,6.12,3.75,291,8.31,3.06,1.88,189,5.4,1.99,1.22
Chattanooga,TN,"1,928",247,651,"1,290",59,153,"567,490","121,347","226,996","47,740","10,385","3,183",4.89,2.47,1.65,1591,2.44,1.23,0.83,1038,1.59,0.8,0.54,692,11.73,4.52,2.8,346,5.86,2.26,1.4,226,3.83,1.48,0.91
Chicago,IL,"7,764",912,"3,161","5,462",312,612,"2,045,072","306,266","818,029","167,064","35,059","11,138",3.52,2.04,1.43,5569,1.76,1.02,0.72,3632,1.15,0.66,0.47,2337,7.49,3.82,2.56,1169,3.75,1.91,1.28,762,2.44,1.25,0.84
Chico,CA,537,51,153,345,23,37,"239,882","53,947","95,953","20,281","4,438","1,352",8.84,3.92,2.52,676,4.42,1.96,1.26,441,2.88,1.28,0.82,296,12.87,8,5.8,148,6.43,4,2.9,96,4.17,2.59,1.88
Cincinnati,OH,"3,808",567,"1,537","2,673",185,376,"1,293,436","245,509","517,374","107,630","23,109","7,175",4.67,2.68,1.88,3588,2.33,1.34,0.94,2340,1.52,0.88,0.61,1541,8.33,4.1,2.72,770,4.16,2.05,1.36,502,2.71,1.34,0.89
Clearwater,FL,"1,571",160,719,"1,145",44,102,"434,821","131,578","173,928","38,046","8,654","2,536",3.53,2.21,1.61,1268,1.76,1.11,0.81,827,1.15,0.72,0.53,577,13.11,5.66,3.61,288,6.55,2.82,1.8,188,4.27,1.84,1.18
Cleveland,OH,"7,233",885,"2,631","4,932",306,595,"1,602,896","353,619","641,158","135,258","29,529","9,017",3.43,1.83,1.25,4509,1.71,0.91,0.62,2940,1.12,0.6,0.41,1969,6.43,3.31,2.22,984,3.22,1.65,1.11,642,2.1,1.08,0.73
Colorado Springs,CO,"1,295",149,555,925,62,106,"673,350","119,939","269,340","55,732","11,888","3,715",6.69,4.02,2.87,1858,3.35,2.01,1.43,1212,2.18,1.31,0.94,793,12.79,7.48,5.32,396,6.39,3.74,2.66,258,4.16,2.43,1.73
Columbia,MO,"1,883",199,901,"1,392",77,138,"557,924","115,795","223,170","46,803","10,147","3,120",3.46,2.24,1.66,1560,1.73,1.12,0.83,1017,1.13,0.73,0.54,676,8.78,4.9,3.4,338,4.39,2.45,1.7,221,2.87,1.6,1.11
Columbia,SC,"3,026",398,"1,053","2,040",151,275,"975,665","189,632","390,266","81,357","17,511","5,424",5.15,2.66,1.79,2712,2.58,1.33,0.9,1769,1.68,0.87,0.58,1167,7.73,4.24,2.93,584,3.87,2.12,1.47,381,2.52,1.39,0.96
Columbus,GA,"1,105",75,547,826,33,54,"280,815","48,222","112,326","23,174","4,925","1,545",2.82,1.87,1.4,772,1.41,0.93,0.7,504,0.92,0.61,0.46,328,9.94,6.07,4.37,164,4.97,3.04,2.19,107,3.24,1.98,1.43
Columbus,OH,"6,449",679,"2,792","4,620",235,457,"2,405,737","441,233","962,295","199,603","42,703","13,307",4.77,2.88,2.06,6653,2.38,1.44,1.03,4339,1.55,0.94,0.67,2847,12.11,6.23,4.19,1423,6.06,3.11,2.1,928,3.95,2.03,1.37
Contra Costa County,CA,"1,727",203,675,"1,201",81,142,"844,608","159,096","337,843","70,236","15,068","4,682",6.94,3.9,2.71,2341,3.47,1.95,1.36,1527,2.26,1.27,0.88,1005,12.41,7.08,4.95,502,6.2,3.54,2.47,328,4.05,2.31,1.62
Corpus Christi,TX,"1,135",167,357,746,38,102,"439,951","83,055","175,980","36,592","7,852","2,439",6.83,3.27,2.15,1220,3.42,1.64,1.07,795,2.23,1.07,0.7,523,13.76,5.13,3.13,262,6.89,2.57,1.57,171,4.5,1.68,1.02
Covington,KY,828,93,280,554,39,66,"327,040","57,022","130,816","27,022","5,752","1,801",6.43,3.25,2.18,901,3.22,1.63,1.09,587,2.1,1.06,0.71,383,9.82,5.8,4.12,192,4.92,2.91,2.06,125,3.21,1.89,1.34
Dallas,TX,"10,585","1,292","3,679","7,132",450,871,"3,918,830","583,050","1,567,532","319,987","67,112","21,332",5.8,2.99,2.02,10666,2.9,1.5,1.01,6956,1.89,0.98,0.66,4474,9.94,5.14,3.46,2237,4.97,2.57,1.73,1459,3.24,1.68,1.13
Danville,PA,"1,664",171,510,"1,087",33,102,"481,423","99,782","192,569","40,380","8,753","2,692",5.28,2.48,1.62,1346,2.64,1.24,0.81,878,1.72,0.81,0.53,584,17.7,5.73,3.42,292,8.85,2.86,1.71,190,5.76,1.86,1.11
Davenport,IA,"1,614",139,699,"1,157",66,102,"379,562","86,153","151,825","32,121","7,036","2,141",3.06,1.85,1.33,1071,1.53,0.93,0.66,698,1,0.6,0.43,469,7.11,4.6,3.37,235,3.56,2.3,1.69,153,2.32,1.5,1.1
Dayton,OH,"2,070",294,749,"1,410",89,192,"825,712","177,147","330,285","69,486","15,121","4,632",6.18,3.29,2.24,2316,3.09,1.64,1.12,1511,2.02,1.07,0.73,1008,11.33,5.25,3.43,504,5.66,2.63,1.71,329,3.7,1.71,1.12
Dearborn,MI,"1,439",188,462,951,95,142,"382,586","75,636","153,034","31,951","6,890","2,130",4.61,2.24,1.48,1065,2.31,1.12,0.74,695,1.5,0.73,0.48,459,4.83,3.23,2.44,230,2.42,1.62,1.22,150,1.58,1.06,0.8
Denver,CO,"5,593",843,"2,269","3,931",325,584,"2,380,353","379,848","952,141","195,341","41,229","13,023",5.74,3.31,2.33,6511,2.87,1.66,1.16,4247,1.87,1.08,0.76,2749,8.46,4.71,3.26,1374,4.23,2.35,1.63,896,2.76,1.53,1.06
