State,City,Month,Percentage,Percentage of Available Bed,Percentage of Available ICU
NV,Las Vegas,6,0.4,8.69,12.52
OK,Lawton,6,0.4,2.45,5.66
NH,Lebanon,6,0.4,5.47,7.18
KY,Lexington,6,0.4,3.2,8.3
NE,Lincoln,6,0.4,2.52,16.82
AR,Little Rock,6,0.4,3.13,8.36
TX,Longview,6,0.4,9.2,9.29
CA,Los Angeles,6,0.4,6.54,9.67
KY,Louisville,6,0.4,4.54,10.07
TX,Lubbock,6,0.4,3.26,7.49
VA,Lynchburg,6,0.4,3.97,13.45
GA,Macon,6,0.4,3.66,11.95
WI,Madison,6,0.4,5.86,8.7
NH,Manchester,6,0.4,6.85,16.25
NY,Manhattan,6,0.4,7.51,7.94
MI,Marquette,6,0.4,3.29,11.17
WI,Marshfield,6,0.4,5.97,10.88
IA,Mason City,6,0.4,2.41,21.5
TX,McAllen,6,0.4,3.12,4.2
OR,Medford,6,0.4,5.48,18.12
IL,Melrose Park,6,0.4,5.08,8.88
TN,Memphis,6,0.4,3.69,11.6
MS,Meridian,6,0.4,1.87,9.53
AZ,Mesa,6,0.4,9.71,12.49
LA,Metairie,6,0.4,5.05,10.09
FL,Miami,6,0.4,5.16,11.69
WI,Milwaukee,6,0.4,5.21,7.62
MN,Minneapolis,6,0.4,5.79,12.82
ND,Minot,6,0.4,1.61,14.56
MT,Missoula,6,0.4,3.92,10.08
AL,Mobile,6,0.4,5.22,7.79
CA,Modesto,6,0.4,8.04,18.16
LA,Monroe,6,0.4,2.04,6.86
AL,Montgomery,6,0.4,4.34,7.03
WV,Morgantown,6,0.4,3.69,10
NJ,Morristown,6,0.4,7.52,17.69
IN,Muncie,6,0.4,5.6,19.63
IN,Munster,6,0.4,2.07,6.79
MI,Muskegon,6,0.4,4.65,6.43
CA,Napa,6,0.4,8.18,6.71
TN,Nashville,6,0.4,4.22,8.49
WI,Neenah,6,0.4,4.1,9.32
NJ,New Brunswick,6,0.4,7.58,7.92
CT,New Haven,6,0.4,10.79,12.09
LA,New Orleans,6,0.4,3.5,8.36
NJ,Newark,6,0.4,6.54,7.31
VA,Newport News,6,0.4,9.93,11.96
VA,Norfolk,6,0.4,7.2,14.57
FL,Ocala,6,0.4,9.51,12.86
TX,Odessa,6,0.4,2.85,8.55
UT,Ogden,6,0.4,5.22,9.64
OK,Oklahoma City,6,0.4,3.38,7.88
WA,Olympia,6,0.4,10.42,15.76
NE,Omaha,6,0.4,3.22,6.57
CA,Orange County,6,0.4,6.55,10.62
FL,Orlando,6,0.4,5.37,8.65
FL,Ormond Beach,6,0.4,5.55,7.25
KY,Owensboro,6,0.4,3.61,9.86
MS,Oxford,6,0.4,1.88,9.27
