State,City,Percentage,Projected_Infected,Projected_Hospitalized,Projected_ICUed
NM,Albuquerque,0.4,534718,112216,24348
LA,Alexandria,0.4,88639,18533,4003
PA,Allentown,0.4,384229,80884,17614
PA,Altoona,0.4,93824,19973,4407
TX,Amarillo,0.4,133068,27611,5910
AK,Anchorage,0.4,220765,44770,9311
MI,Ann Arbor,0.4,446236,92731,19883
WI,Appleton,0.4,101818,21336,4621
VA,Arlington,0.4,763815,155390,32450
NC,Asheville,0.4,221252,47608,10633
GA,Atlanta,0.4,2010912,412448,87022
GA,Augusta,0.4,216097,45074,9708
IL,Aurora,0.4,98258,19962,4161
TX,Austin,0.4,609378,123702,25761
CA,Bakersfield,0.4,338846,69066,14458
MD,Baltimore,0.4,806001,167571,35951
ME,Bangor,0.4,127422,27171,6006
LA,Baton Rouge,0.4,298742,61590,13078
TX,Beaumont,0.4,142549,29768,6421
OR,Bend,0.4,75950,16228,3596
MT,Billings,0.4,190608,39928,8644
NY,Binghamton,0.4,114462,24295,5342
AL,Birmingham,0.4,709876,148732,32208
ND,Bismarck,0.4,73032,15351,3337
IL,Bloomington,0.4,64318,13206,2790
IL,Blue Island,0.4,268387,56104,12116
ID,Boise,0.4,280466,58417,12561
MA,Boston,0.4,1608883,335404,72196
CO,Boulder,0.4,106995,21929,4622
FL,Bradenton,0.4,106551,23393,5342
CT,Bridgeport,0.4,215653,44857,9629
NY,Bronx,0.4,437896,89677,18884
TX,Bryan,0.4,92296,18763,3914
NY,Buffalo,0.4,436149,91781,19978
VT,Burlington,0.4,209088,43683,9427
NJ,Camden,0.4,883488,186453,40724
OH,Canton,0.4,198140,41976,9209
MO,Cape Girardeau,0.4,81159,17139,3746
WY,Casper,0.4,61154,12833,2784
IA,Cedar Rapids,0.4,93949,19683,4262
SC,Charleston,0.4,365763,76955,16748
WV,Charleston,0.4,260084,55335,12200
NC,Charlotte,0.4,809695,167278,35612
VA,Charlottesville,0.4,191121,40138,8716
TN,Chattanooga,0.4,226996,47740,10385
IL,Chicago,0.4,818029,167064,35059
CA,Chico,0.4,95953,20281,4438
OH,Cincinnati,0.4,517374,107630,23109
FL,Clearwater,0.4,173928,38046,8654
OH,Cleveland,0.4,641158,135258,29529
CO,Colorado Springs,0.4,269340,55732,11888
MO,Columbia,0.4,223170,46803,10147
SC,Columbia,0.4,390266,81357,17511
GA,Columbus,0.4,112326,23174,4925
OH,Columbus,0.4,962295,199603,42703
CA,Contra Costa County,0.4,337843,70236,15068
TX,Corpus Christi,0.4,175980,36592,7852
KY,Covington,0.4,130816,27022,5752
TX,Dallas,0.4,1567532,319987,67112
PA,Danville,0.4,192569,40380,8753
IA,Davenport,0.4,151825,32121,7036
OH,Dayton,0.4,330285,69486,15121
MI,Dearborn,0.4,153034,31951,6890
CO,Denver,0.4,952141,195341,41229
IA,Des Moines,0.4,347914,72515,15605
MI,Detroit,0.4,526211,109661,23595
AL,Dothan,0.4,116038,24540,5373
IA,Dubuque,0.4,50312,10635,2327
MN,Duluth,0.4,109788,23276,5111
NC,Durham,0.4,438901,91935,19903
NY,East Long Island,0.4,1524500,318208,68597
TX,El Paso,0.4,335673,69330,14755
IL,Elgin,0.4,244239,50236,10637
NY,Elmira,0.4,102028,21605,4738
OH,Elyria,0.4,80104,16893,3687
PA,Erie,0.4,224455,47589,10451
OR,Eugene,0.4,241429,51230,11261
IL,Evanston,0.4,284784,60292,13218
IN,Evansville,0.4,211578,44583,9720
WA,Everett,0.4,216962,45206,9724
ND,Fargo/Moorhead MN,0.4,172832,36269,7869
MI,Flint,0.4,170592,35807,7771
SC,Florence,0.4,115145,24264,5290
CO,Fort Collins,0.4,115198,23682,5011
FL,Fort Lauderdale,0.4,958646,205679,45787
FL,Fort Myers,0.4,431609,96207,22327
AR,Fort Smith,0.4,112788,23802,5198
IN,Fort Wayne,0.4,260552,54538,11797
TX,Fort Worth,0.4,705717,144648,30493
CA,Fresno,0.4,367258,75351,15905
FL,Gainesville,0.4,185615,38946,8448
IN,Gary,0.4,156867,32882,7125
ND,Grand Forks,0.4,52034,10867,2344
CO,Grand Junction,0.4,108208,22728,4937
MI,Grand Rapids,0.4,373565,77489,16579
MT,Great Falls,0.4,45969,9706,2121
CO,Greeley,0.4,117707,24477,5253
WI,Green Bay,0.4,161181,33972,7409
NC,Greensboro,0.4,202291,42256,9118
NC,Greenville,0.4,271724,56812,12272
SC,Greenville,0.4,297448,62349,13509
MS,Gulfport,0.4,63868,13220,2821
NJ,Hackensack,0.4,419547,87317,18757
TX,Harlingen,0.4,167453,34706,7418
PA,Harrisburg,0.4,330163,69693,15226
CT,Hartford,0.4,478535,100251,21706
MS,Hattiesburg,0.4,96168,20023,4303
NC,Hickory,0.4,91707,19376,4238
IL,Hinsdale,0.4,154293,31894,6795
HI,Honolulu,0.4,445609,93714,20385
LA,Houma,0.4,82470,17112,3662
TX,Houston,0.4,2111476,430413,90110
FL,Hudson,0.4,140491,30977,7107
WV,Huntington,0.4,110536,23409,5134
AL,Huntsville,0.4,202462,42274,9117
ID,Idaho Falls,0.4,67942,13990,2966
IN,Indianapolis,0.4,899758,186642,39933
IA,Iowa City,0.4,111687,23235,4989
MS,Jackson,0.4,317134,66045,14198
TN,Jackson,0.4,102440,21683,4752
FL,Jacksonville,0.4,536047,111522,23946
TN,Johnson City,0.4,94209,19853,4329
PA,Johnstown,0.4,68326,14702,3283
IL,Joliet,0.4,206725,42719,9097
AR,Jonesboro,0.4,74388,15597,3381
MO,Joplin,0.4,113119,23918,5236
MI,Kalamazoo,0.4,208078,43524,9407
MO,Kansas City,0.4,780361,162034,34710
OH,Kettering,0.4,133712,28187,6148
TN,Kingsport,0.4,150341,32135,7123
TN,Knoxville,0.4,443223,93740,20526
WI,La Crosse,0.4,111836,23557,5134
IN,Lafayette,0.4,79814,16374,3456
LA,Lafayette,0.4,191024,39556,8445
LA,Lake Charles,0.4,84242,17447,3726
FL,Lakeland,0.4,126954,26900,5903
PA,Lancaster,0.4,211486,44458,9665
MI,Lansing,0.4,224654,46594,9967
NV,Las Vegas,0.4,681998,141803,30426
OK,Lawton,0.4,61098,12689,2719
NH,Lebanon,0.4,128200,27314,6032
KY,Lexington,0.4,477137,99447,21400
NE,Lincoln,0.4,183602,38455,8324
AR,Little Rock,0.4,484993,101985,22180
TX,Longview,0.4,64526,13528,2932
CA,Los Angeles,0.4,3149665,646624,136592
KY,Louisville,0.4,554296,115643,24915
TX,Lubbock,0.4,218584,45026,9551
VA,Lynchburg,0.4,86938,18413,4038
GA,Macon,0.4,227476,47447,10220
WI,Madison,0.4,354773,73700,15797
NH,Manchester,0.4,285872,59772,12912
NY,Manhattan,0.4,1669375,344744,73357
MI,Marquette,0.4,63711,13603,3011
WI,Marshfield,0.4,118233,25154,5546
IA,Mason City,0.4,40130,8644,1933
TX,McAllen,0.4,194632,39793,8363
OR,Medford,0.4,140462,30319,6796
IL,Melrose Park,0.4,412604,85433,18238
TN,Memphis,0.4,546479,113191,24174
MS,Meridian,0.4,59224,12481,2722
AZ,Mesa,0.4,454248,94391,20238
LA,Metairie,0.4,146538,30738,6666
FL,Miami,0.4,1096592,228356,49088
WI,Milwaukee,0.4,831682,172484,36894
MN,Minneapolis,0.4,1028142,213521,45749
ND,Minot,0.4,44974,9279,1972
MT,Missoula,0.4,126036,26770,5891
AL,Mobile,0.4,259583,54459,11812
CA,Modesto,0.4,272390,56297,11991
LA,Monroe,0.4,81915,17125,3698
AL,Montgomery,0.4,144345,30010,6439
WV,Morgantown,0.4,131715,27639,5996
NJ,Morristown,0.4,318057,66420,14327
IN,Muncie,0.4,51521,10840,2359
IN,Munster,0.4,95937,19947,4280
MI,Muskegon,0.4,83803,17657,3849
CA,Napa,0.4,87401,18644,4123
TN,Nashville,0.4,913065,189100,40380
WI,Neenah,0.4,76745,16098,3491
NJ,New Brunswick,0.4,338157,70078,14976
CT,New Haven,0.4,470829,98733,21403
LA,New Orleans,0.4,221730,45626,9666
NJ,Newark,0.4,493416,101276,21388
VA,Newport News,0.4,178970,37401,8074
VA,Norfolk,0.4,409400,84405,17923
FL,Ocala,0.4,179917,41216,9835
TX,Odessa,0.4,113501,23206,4877
UT,Ogden,0.4,142400,29028,6078
OK,Oklahoma City,0.4,596594,123956,26574
WA,Olympia,0.4,128062,27031,5905
NE,Omaha,0.4,404398,84248,18120
CA,Orange County,0.4,1065024,219689,46681
FL,Orlando,0.4,1252374,265089,58101
FL,Ormond Beach,0.4,135552,29890,6858
KY,Owensboro,0.4,44815,9461,2067
MS,Oxford,0.4,46742,9716,2084
KY,Paducah,0.4,116091,24733,5462
CA,Palm Springs/Rancho Mira,0.4,122390,26838,6121
NJ,Paterson,0.4,124310,25902,5572
FL,Pensacola,0.4,254742,53360,11552
IL,Peoria,0.4,187628,39681,8688
MI,Petoskey,0.4,57051,12277,2742
PA,Philadelphia,0.4,1332550,277202,59513
AZ,Phoenix,0.4,1104436,230084,49485
PA,Pittsburgh,0.4,929669,197232,43344
MI,Pontiac,0.4,150774,31344,6724
ME,Portland,0.4,350492,73985,16164
OR,Portland,0.4,886236,184078,39447
RI,Providence,0.4,394681,82313,17727
UT,Provo,0.4,174790,35208,7259
CO,Pueblo,0.4,55420,11763,2586
NC,Raleigh,0.4,668017,137262,29026
SD,Rapid City,0.4,69436,14614,3181
PA,Reading,0.4,186767,39277,8543
CA,Redding,0.4,110472,23444,5154
NV,Reno,0.4,242381,50907,11056
VA,Richmond,0.4,563630,117129,25116
NJ,Ridgewood,0.4,135493,28235,6074
VA,Roanoke,0.4,227896,48160,10536
MN,Rochester,0.4,128147,27066,5917
NY,Rochester,0.4,414600,86815,18787
IL,Rockford,0.4,220852,46447,10103
GA,Rome,0.4,88768,18603,4030
MI,Royal Oak,0.4,222479,46736,10153
CA,Sacramento,0.4,830656,173140,37261
MI,Saginaw,0.4,195930,41948,9316
OR,Salem,0.4,102064,21326,4603
CA,Salinas,0.4,121299,25017,5315
MD,Salisbury,0.4,148605,32045,7174
UT,Salt Lake City,0.4,621075,127494,26929
