State,City,Month,Percentage,Hospital Bed Needed,ICU Bed Needed
OK,Oklahoma City,6,0.4,8264,1772
WA,Olympia,6,0.4,1802,394
NE,Omaha,6,0.4,5617,1208
CA,Orange County,6,0.4,14646,3112
FL,Orlando,6,0.4,17673,3873
FL,Ormond Beach,6,0.4,1993,457
KY,Owensboro,6,0.4,631,138
MS,Oxford,6,0.4,648,139
KY,Paducah,6,0.4,1649,364
CA,Palm Springs/Rancho Mira,6,0.4,1789,408
NJ,Paterson,6,0.4,1727,371
FL,Pensacola,6,0.4,3557,770
IL,Peoria,6,0.4,2645,579
MI,Petoskey,6,0.4,818,183
PA,Philadelphia,6,0.4,18480,3968
AZ,Phoenix,6,0.4,15339,3299
PA,Pittsburgh,6,0.4,13149,2890
MI,Pontiac,6,0.4,2090,448
ME,Portland,6,0.4,4932,1078
OR,Portland,6,0.4,12272,2630
RI,Providence,6,0.4,5488,1182
UT,Provo,6,0.4,2347,484
CO,Pueblo,6,0.4,784,172
NC,Raleigh,6,0.4,9151,1935
SD,Rapid City,6,0.4,974,212
PA,Reading,6,0.4,2618,570
CA,Redding,6,0.4,1563,344
NV,Reno,6,0.4,3394,737
VA,Richmond,6,0.4,7809,1674
NJ,Ridgewood,6,0.4,1882,405
VA,Roanoke,6,0.4,3211,702
MN,Rochester,6,0.4,1804,394
NY,Rochester,6,0.4,5788,1252
IL,Rockford,6,0.4,3096,674
GA,Rome,6,0.4,1240,269
MI,Royal Oak,6,0.4,3116,677
CA,Sacramento,6,0.4,11543,2484
MI,Saginaw,6,0.4,2797,621
OR,Salem,6,0.4,1422,307
CA,Salinas,6,0.4,1668,354
MD,Salisbury,6,0.4,2136,478
UT,Salt Lake City,6,0.4,8500,1795
TX,San Angelo,6,0.4,705,153
TX,San Antonio,6,0.4,12058,2563
CA,San Bernardino,6,0.4,13125,2759
CA,San Diego,6,0.4,16487,3492
CA,San Francisco,6,0.4,7047,1510
CA,San Jose,6,0.4,7974,1684
CA,San Luis Obispo,6,0.4,1202,262
CA,San Mateo County,6,0.4,3704,796
CA,Santa Barbara,6,0.4,1993,427
CA,Santa Cruz,6,0.4,1263,268
CA,Santa Rosa,6,0.4,2265,494
FL,Sarasota,6,0.4,2297,550
GA,Savannah,6,0.4,3910,844
PA,Sayre,6,0.4,869,192
PA,Scranton,6,0.4,1447,321
WA,Seattle,6,0.4,13334,2838
LA,Shreveport,6,0.4,2967,643
IA,Sioux City,6,0.4,1097,238
SD,Sioux Falls,6,0.4,3386,737
LA,Slidell,6,0.4,840,183
IN,South Bend,6,0.4,3007,649
SC,Spartanburg,6,0.4,1688,367
WA,Spokane,6,0.4,6771,1468
AR,Springdale,6,0.4,2414,515
IL,Springfield,6,0.4,3600,789
MA,Springfield,6,0.4,3353,726
MO,Springfield,6,0.4,3911,863
